Comment,Number_of_nuclei,Area,Mean_intensity,Total_intensity
,5,12.5506,27631.7684,346795.2725
,6,16.9195,25357.4151,429034.7848
,8,19.658,22095.3153,434349.7082
,10,23.6604,26227.5721,620554.8469
,4,11.1224,27895.2178,310261.7705
,7,18.8491,30432.289,573621.2586
,6,18.6764,20406.9926,381129.1566
microspores,1,1.9928,7645.9027,15236.7549
microspores,1,1.3819,8311.5854,11485.77986
,4,13.6249,20374.0968,277595.0315
,6,17.9939,22326.1985,401735.3832
,6,18.5879,26774.8527,497688.2845
,6,23.0579,20699.2481,477281.1928
,6,14.5476,28792.799,418866.1227
microspores,1,1.938,13704.1478,26558.63844
,4,11.7333,28503.5364,334440.5436
,5,15.9126,23122.435,367938.0592
,10,35.3221,26848.7413,948353.9251
,5,15.0616,22166.9326,333869.472
microspores,1,1.9043,7873.6527,14993.79684
,4,10.9412,26562.0774,290621.0012
,5,16.6878,22090.8955,368648.4459
,6,21.3938,18201.4157,389397.4472
,9,19.2325,24637.0162,473831.4141
,4,11.4889,14966.6645,171950.5118
,6,16.6794,26445.4784,441094.7124
,8,15.7272,16111.2529,253384.8966
,8,14.931,35964.6233,536987.7905
,9,18.4741,39151.3918,723286.7273
microspores,1,2.1908,8513.7865,18652.00346
