Comment,Number_of_nuclei,Area,Mean_intensity,Total_intensity
,5,12.5506,27631.7684,346795.2725
,6,16.9195,25357.4151,429034.7848
,8,19.658,22095.3153,434349.7082
,10,23.6604,26227.5721,620554.8469
,4,11.1224,27895.2178,310261.7705
,7,18.8491,30432.289,573621.2586
,6,18.6764,20406.9926,381129.1566
microspores,1,1.9928,7645.9027,15236.7549
microspores,1,1.3819,8311.5854,11485.77986
,4,13.6249,20374.0968,277595.0315
,6,17.9939,22326.1985,401735.3832
,6,18.5879,26774.8527,497688.2845
,6,23.0579,20699.2481,477281.1928
,6,14.5476,28792.799,418866.1227
microspores,1,1.938,13704.1478,26558.63844
,4,11.7333,28503.5364,334440.5436
,5,15.9126,23122.435,367938.0592
,10,35.3221,26848.7413,948353.9251
,5,15.0616,22166.9326,333869.472
microspores,1,1.9043,7873.6527,14993.79684
,4,10.9412,26562.0774,290621.0012
,5,16.6878,22090.8955,368648.4459
,6,21.3938,18201.4157,389397.4472
,9,19.2325,24637.0162,473831.4141
,4,11.4889,14966.6645,171950.5118
,6,16.6794,26445.4784,441094.7124
,8,15.7272,16111.2529,253384.8966
,8,14.931,35964.6233,536987.7905
,9,18.4741,39151.3918,723286.7273
microspores,1,2.1908,8513.7865,18652.00346
,7,20.7281,24510.6974,508060.1868
,8,22.9063,24773.0853,567459.7238
,6,15.0026,23254.3929,348876.3549
,4,12.4832,19975.2443,249354.9696
microspores,1,1.5504,17744.4321,27510.96753
,4,11.1224,15070.4106,167619.1349
,9,21.478,25182.9708,540879.8468
microspores,1,2.7048,6627.2757,17925.45531
,4,11.0213,33456.8005,368737.4354
microspores,1,1.9928,8807.9852,17552.55291
microspores,1,1.8369,7655.0482,14061.55804
,6,20.0203,15797.2123,316264.9294
,4,13.0941,18945.8575,248078.9527
,9,30.1822,26014.1104,785163.0829
,6,11.2067,32707.8906,366547.5176
,5,10.8949,25518.5843,278022.4241
microspores,1,2.6668,7582.7204,20221.59876
microspores,1,2.018,13089.0981,26413.79997
,8,21.1241,25217.0656,532687.8154
,4,9.4161,21598.3239,203371.9777
,4,12.4916,18290.2115,228474.006
,5,12.8708,20839.9666,268227.0421
,6,17.9475,14712.0838,264045.124
,8,31.8295,16410.7709,522346.6324
,4,15.1543,16135.1674,244517.1673
,5,12.993,18035.1741,234331.0171
microspores,1,3.2061,17133.1183,54930.49058
microspores,1,3.0924,10631.7888,32877.74369
microspores,1,2.4478,7115.6781,17417.75685
microspores,1,1.7821,10506.2553,18723.19757
microspores,1,1.5757,10028.4866,15801.88634
microspores,1,1.9422,8682.2191,16862.60594
,3,9.2265,19916.9717,183763.9394
,5,16.5235,21703.7506,358621.923
microspores,1,2.5025,13175.5724,32971.86993
,5,13.2626,23413.4206,310522.832
,4,14.1558,17680.0381,250275.0833
microspores,1,2.4351,14386.718,35033.097
,4,10.0902,25155.8735,253827.7948
microspores,1,1.74,13379.4794,23280.29416
microspores,1,1.6936,15565.2363,26361.2842
microspores,1,1.9127,15183.4581,29041.40031
,4,12.7613,22254.2549,283993.2231
microspores,1,1.6726,16138.6297,26993.47204
,7,21.5791,22096.4307,476821.0877
,6,13.7766,57359.1122,790213.5451
,4,12.1504,22970.8304,279104.7777
microspores,1,1.0659,16023.6877,17079.64872
,6,17.4209,25067.2423,436693.9214
microspores,1,3.3241,7661.2357,25466.71359
,6,16.6457,23165.1956,385600.8964
,6,18.8744,19277.5301,363851.8141
,5,13.1699,20920.6318,275522.6287
microspores,1,3.3325,5829.0442,19425.2898
,9,22.9526,21785.0905,500024.4682
,8,17.1892,26464.1449,454897.4795
,6,17.4672,22844.3953,399027.6216
,8,19.6875,23995.4654,472410.7251
microspores,1,4.2299,5343.7669,22603.59961
,4,14.5813,15785.7408,230176.6223
,6,14.5982,27752.2652,405133.1178
microspores,1,1.799,11776.4262,21185.79073
microspores,1,1.7442,12928.1087,22549.20719
,4,11.1393,21618.4213,240814.0804
,4,10.0944,19574.2462,197590.2708
microspores,1,1.0238,11481.5844,11754.84611
,6,14.7288,24175.8272,356080.9237
,4,10.6632,15611.9415,166473.2546
,2,7.1832,16714.7396,120065.3175
,6,16.6036,25238.8462,419055.7068
microspores,1,1.3692,16664.4185,22816.92181
,8,17.6568,24423.8,431246.1518
,6,16.5024,28534.3457,470885.1865
,4,13.705,15176.4242,207992.8937
,7,13.8819,34898.8331,484462.1112
,6,18.2846,36352.4327,664689.6909
,7,22.3038,21089.1844,470368.951
,6,18.0571,19102.2872,344931.9102
,5,14.1769,24883.0128,352763.9842
,4,14.7456,23303.7429,343627.6713
microspores,1,1.7695,12819.3738,22683.88194
,7,16.7637,13422.428,225009.5563
,8,16.5656,24096.9166,399179.8816
,4,11.0508,13375.6927,147812.1049
,6,18.6974,18601.1251,347792.6764
,5,18.8407,16256.1507,306277.2585
,6,14.9057,18078.0028,269465.2863
,7,16.0938,32311.9817,520022.5711
,4,8.5946,17604.4211,151302.9576
,4,10.9202,16831.8299,183806.9489
,6,15.7399,22595.69,355653.901
,6,16.4224,18324.5795,300933.5744
,5,12.6939,27688.6542,351477.0075
,5,14.2527,30245.2459,431076.4162
,4,11.0171,16491.8807,181692.6989
,6,14.99,19753.9609,296111.8739
,3,8.0722,26295.4953,212262.4972
,9,19.6706,27295.8239,536925.2336
,8,25.4299,20424.4336,519391.304
,9,28.1388,21150.7615,595157.0477
,8,19.5443,26249.9299,513036.5049
,4,11.4047,22045.321,251420.2724
microspores,1,2.1107,14806.012,31251.04953
,9,20.5217,25008.1776,513210.3183
,5,11.3541,26199.4609,297471.299
,7,14.8383,33752.0931,500823.683
microspores,1,1.6768,16998.5427,28503.1564
microspores,1,2.2413,6775.0263,15184.86645
,9,21.457,22453.3579,481781.7005
,4,10.0986,25044.3346,252912.7174
microspores,1,1.3734,20656.1564,28369.1652
microspores,1,1.4409,19086.5234,27501.77157
microspores,1,1.879,15689.6457,29480.84427
,5,17.6863,18316.4995,323951.1051
microspores,1,2.4056,13772.6725,33131.54097
,7,15.3228,26636.5186,408146.0472
microspores,1,1.9591,7892.2043,15461.61744
,6,13.5533,23999.4523,325271.7769
microspores,1,1.3103,11132.4116,14586.79892
microspores,1,1.9759,6859.4115,13553.51118
,7,16.4435,27291.6205,448769.7617
,4,14.6403,18403.4314,269431.7567
,7,15.7525,21484.5964,338436.1048
microspores,1,1.1333,12028.1115,13631.45876
,4,13.5323,15494.019,209669.7133
,4,13.9156,24700.4899,343722.1373
,8,23.4329,23333.2699,546766.1802
microspores,1,1.5125,17492.7855,26457.83807
microspores,1,1.8242,17680.1755,32252.17615
,4,14.3159,18085.9217,258916.2465
microspores,1,2.5068,7920.8269,19855.92887
,8,16.89,41729.217,704806.4751
,6,23.8668,17772.6092,424175.3093
,4,14.9647,24361.4758,364562.1769
,4,13.6713,15649.8299,213953.5195
,4,11.5437,24088.8296,278074.2223
,8,17.5136,36672.1963,642262.1771
,5,10.2756,48793.1673,501379.0699
