Comment,Number_of_nuclei,Area,Mean_intensity,Total_intensity
,3,4.3352,13140.757,56967.80975
,2,2.4646,11337.012,27941.19978
,3,5.8013,7556.1169,43835.30097
,1,2.4183,8105.8118,19602.28468
,3,3.6653,12238.7138,44858.55769
,2,3.0376,8015.0555,24346.53259
,2,1.9506,8141.4881,15880.78669
,4,8.5988,11256.2773,96790.47725
,2,3.5516,9480.4638,33670.81523
,2,4.3689,8155.9537,35632.54612
,3,8.1901,6732.7793,55142.13574
,1,4.3226,3901.4873,16864.569
,2,6.0836,5844.599,35556.20248
,1,2.473,9551.5911,23621.08479
,1,2.5742,8003.108,20601.60061
,3,5.637,8991.293,50683.91864
,2,3.3578,12633.8808,42422.04495
,3,5.8603,7515.0863,44040.66024
,3,6.9094,6935.6201,47920.97352
,1,3.3494,5230.2994,17518.36481
,1,3.9897,6791.4857,27095.9905
,2,6.7029,5359.3306,35923.05708
,1,1.8832,7445.1365,14020.68106
,4,6.1005,10234.3626,62434.72904
,3,3.8002,10918.4146,41492.15916
,3,4.7017,9627.733,45266.71225
,2,4.6006,7789.9679,35838.52632
,3,5.873,11441.9799,67198.74795
,2,3.7917,11656.3322,44197.3148
,4,5.8477,14005.4914,81899.91206
,2,3.6906,9133.7934,33709.17792
,2,3.8886,7876.7096,30629.37295
,3,6.6313,7839.6366,51986.98219
,1,2.1192,5588.338,11842.80589
,1,2.254,7033.5533,15853.62914
,1,1.5967,8470.9789,13525.61201
,2,5.043,6758.0343,34080.76697
,3,8.2912,7373.6397,61136.32148
,2,4.7776,10185.5891,48662.67048
,1,3.2482,6670.1777,21666.07121
,2,5.0767,5834.8432,29621.74847
,1,3.442,6380.1102,21960.33931
,2,4.7776,6190.3474,29575.00374
,1,2.8944,4323.8472,12514.94334
,2,8.8179,7560.7788,66670.19138
,1,3.9392,6418.1251,25282.27839
,2,4.9377,8252.5427,40748.58009
,1,2.7848,9236.0514,25720.55594
,2,5.5654,7339.975,40849.89687
,1,1.2555,7888.1879,9903.619908
,1,2.9407,4498.053,13227.42446
,1,3.3662,7366.9612,24798.66479
,2,4.4153,3240.104,14306.03119
,2,5.4137,4394.1541,23788.63205
,2,7.356,4984.701,36667.46056
,2,4.1498,4976.1584,20650.06213
,1,4.074,7558.9721,30795.25234
,2,3.5516,6898.841,24501.9237
,1,3.876,8148.6772,31584.27283
,2,5.7297,8856.9904,50747.89789
,1,2.7427,9297.9401,25501.46031
,2,4.5164,5465.7034,24685.30284
,1,3.0081,7137.5224,21470.38113
,1,3.2567,6582.533,21437.33522
,3,9.1254,4898.3712,44699.59655
,3,7.2422,5960.7435,43168.89658
,2,5.5781,5285.5363,29483.25004
,1,2.6458,5084.7834,13453.31992
,2,2.5868,8109.9414,20978.79641
,1,2.0475,6549.4403,13409.97901
,1,1.5083,6917.4274,10433.55575
,3,5.5654,6016.6397,33485.00659
,4,6.0415,8505.2043,51384.19178
,1,2.9828,4341.7726,12950.63931
,2,3.5389,5552.9071,19651.18294
,2,5.7719,7907.3015,45640.15353
,2,6.4796,7358.0221,47677.04
,2,4.647,6602.5576,30682.08517
,2,4.4363,4887.0551,21680.44254
,3,4.1878,10232.5211,42851.75186
,1,2.6331,5491.76,14460.35326
,2,4.9924,9110.6759,45484.13836
,2,5.0472,9497.1586,47934.05889
,1,3.1219,6175.7935,19280.20973
,2,3.2693,9520.6508,31125.86366
,2,3.282,8919.2003,29272.81538
,2,3.9139,6780.7912,26539.33868
,1,3.3409,8019.4262,26792.10099
,1,2.8017,5302.009,14854.63862
,1,2.3382,6530.5333,15269.69296
,1,5.0599,7542.3847,38163.71234
,2,3.223,9052.183,29175.18581
,3,6.2269,6438.0886,40089.3339
,1,2.1571,6975.1152,15046.021
,1,2.7975,4663.4428,13045.98123
,3,4.3436,7840.2347,34054.84344
,3,6.071,6788.9244,41215.56003
,3,5.2958,6278.2331,33248.26685
,2,6.349,4384.4837,27837.08701
,2,7.3686,3990.3545,29403.32617
,2,4.6217,5462.8487,25247.64784
,9,17.6989,9141.5358,161795.128
,2,5.1062,9808.9909,50086.66933
,3,5.3506,9779.3268,52325.26598
,3,6.13,8883.1787,54453.88543
,3,4.0066,6931.0726,27770.03548
,3,9.8543,5473.298,53935.52048
,1,5.6707,6124.0067,34727.40479
,1,2.4436,10823.1379,26447.41977
,1,1.8369,8721.6995,16020.88981
,2,5.5317,6666.821,36878.85373
,2,4.706,5610.7252,26404.07279
,2,4.8029,6936.4623,33315.13478
,2,6.2774,4983.5423,31283.68843
,4,10.1955,7794.4921,79468.74421
,2,6.0162,5731.3165,34480.74633
,2,5.0304,6877.4121,34596.13383
,3,8.9695,7811.7957,70067.90153
,2,7.2633,4804.1061,34893.66384
,2,4.213,9147.274,38537.46536
,3,6.9052,6939.1623,47916.30351
,2,3.3114,6116.402,20253.85358
,2,4.0656,6313.6383,25668.72787
,2,4.192,8296.8271,34780.2992
,2,4.5585,7660.8614,34922.03669
,3,9.5088,6905.8307,65666.16296
,2,6.6271,4667.7247,30933.47836
,4,7.9331,6489.4344,51481.33204
,2,3.4294,5857.801,20088.74275
,3,3.8676,8926.7266,34525.0078
,1,2.5742,5130.2144,13206.19791
,1,3.2735,7952.4492,26032.34246
,2,5.9319,9504.0107,56376.84107
,2,3.7412,6122.3131,22904.79777
,4,6.5007,6472.5632,42076.19159
,2,5.8814,6661.4699,39178.76907
,2,5.7424,6568.0448,37716.34046
,2,5.4559,4143.3622,22605.76983
,3,5.5528,6596.2405,36627.60425
,2,5.637,7519.1435,42385.41191
,1,1.7063,8133.5704,13878.31117
,3,4.5838,9047.1599,41470.37155
,1,2.8227,5084.2388,14351.28086
,2,4.3816,8139.2827,35663.08108
,2,4.2762,5896.6591,25215.29364
,7,11.9566,8581.944,102610.8716
,2,3.2946,6134.734,20211.49464
,2,2.6163,9136.8551,23904.754
,2,4.2636,8684.0237,37025.20345
,2,2.6879,9859.6489,26501.75028
,2,5.1525,9850.6844,50755.65137
,1,4.0529,8031.5696,32551.14843
,2,6.1047,7146.7136,43628.54251
,2,6.3406,5326.5236,33773.35554
,1,7.4613,3802.5099,28371.66712
,1,1.563,5265.4798,8229.944927
,1,2.8691,3712.6769,10652.04129
,1,4.6091,5082.7971,23427.12011
,1,4.213,2981.849,12562.52984
,1,4.6765,5153.1505,24098.70831
,1,3.2862,6900.9487,22677.89762
,3,4.6765,9367.1595,43805.5214
,2,2.9997,8590.1854,25767.97914
,1,2.4941,11746.0169,29295.74075
,6,10.6969,13778.0886,147382.8359
,3,6.8967,8579.0293,59166.99137
,2,3.8634,8953.5834,34591.27411
,2,4.3226,7837.3918,33877.90979
,1,3.9434,6953.6944,27421.1985
,3,5.6876,8579.3319,48795.80811
,2,4.1583,7770.0527,32310.21014
,3,5.4854,8648.5223,47440.60422
,4,9.0454,8385.0061,75845.73418
,1,2.8312,5783.7068,16374.83069
,3,7.8994,6800.928,53723.25064
,1,2.8606,5863.9102,16774.30152
,4,7.3349,11716.3756,85938.44339
,2,4.8029,7018.0465,33706.97553
,2,4.3184,6734.158,29080.78791
,2,4.4363,6885.2042,30544.83139
,2,15.2006,4437.0873,67446.38921
,3,5.3,8986.2734,47627.24902
,3,5.4812,8759.5995,48013.11678
,4,8.3587,5463.1436,45664.77841
,2,4.2172,5248.7243,22134.92012
,3,6.3069,7839.3554,49442.03057
,2,6.3533,7471.821,47470.72036
,2,4.0909,7679.6241,31416.57423
,3,4.8323,8044.1857,38871.91856
,1,3.0882,4894.3492,15114.7292
,2,3.1598,7260.436,22941.52567
,2,4.5122,6458.4725,29141.91961
